Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~rhd64_board.PrjPcb|ReportField=ProjectFullPath~D:\repos\driveithome\rhd2164_no_squiggle\rhd64_board.PrjPcb|ReportField=Title~Bill of Materials For Schematic Document [rhd64_board_no_microdrive.SchDoc]|ReportField=ReportTime~13:45:06|ReportField=ReportDate~15.07.2019|ReportField=ReportDateTime~15.07.2019 13:45:06|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~19|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~f37b52aff6bcddea8ec30d4ef32fc51d4ae38ffa|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~15.07.2019|ReportField=CurrentTime~13:45:00|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\repos\driveithome\altium_libraries\RHS2000\rhd64_board_no_microdrive.SchDoc|ReportField=DocumentName~rhd64_board_no_microdrive.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~08.07.2019|ReportField=Organization~|ReportField=ProjectName~rhd64_board.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~rhd64_board_no_microdrive.SchDoc|ReportField=DataSourceFullPath~D:\repos\driveithome\altium_libraries\RHS2000\rhd64_board_no_microdrive.SchDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|Capacitor|ceramic 16v|C0|0201|C_10nF|1
2|Capacitor|ceramic capacitor (25 V). For pwer supply decoupling|C1|0402|C_100nf|1
3|PCB Test Point||GND, mic_in, REF, VDD, VDD1|TESTPOINT_SMALL|TESTPOINT_SMALL|5
4|2-2||PS-, PS+|KP-025-04|KP-025X04|2
5|Resistor|resistor 0ohm|R0|0402|R_0ohm|1
6|Resistor|100ohm resistor for lvds pair in 64ch, 100kohm resistor for voltage divisor knowles mic input|R1, R2, R3, R4, R5|0201|R_100_LVDS, R_100k_mic|5
7|Omnetics A79623 PZN-12-AA connector for SPI interface (amplifier side)||S0|OMNETICS_PZN-12-AA|RHD2000-CABLE-AMP-SIDE|1
8|Molex 3.5mm Pitch Slimstack 34 pin connector||S1, S2|MOLEX_504622-3412|MOLEX_504622-3412|2
9|Intan Technologies RHD2164 chip, BGA package (9x7mm 104-pin)||U0|BGA104_9X7|RHD2164_BGA_BGA|1
